User Input,Service Category,hindi_input,hindi_output,odia_input,odia_output,telugu_input,telugu_output,bengali_input,bengali_output
I'm involved in a divorce and need assistance with child custody negotiations.,Mediator,??? ???? ??? ????? ??? ?? ??? ?????? ?????? ?? ??? ?????? ?? ???????? ???,???????,??? ??? ????????? ???? ??? ???? ?????? ?? negotiations ???? ???? ?????? ?????? ??? |,?????????,???? ????????? ???????????? ????? ?????? ?????? ??????? ????? ??????.,?????????,??? ???? ????????????? ????? ??? ???? ?????? ???????? ??????? ?????????,?????????????
I want to draft a legally binding contract for a business partnership.,Document Writer,??? ?? ?????????? ???????? ?? ??? ?????? ??? ?? ????????? ?????? ?? ????? ????? ???? ????? ????,????????? ????,??? ?? ??????? ???????? ???? ?? ????? ???????? ?????? ??????? ??????? ??????? |,??????????? ?????? |,???? ??????? ??????????? ???? ??????????? ??????????? ????????????????????????.,??????????? ?????,??? ???? ?????????? ????????????? ???? ???? ??????????? ??????? ????? ???? ???? ????,??? ????
I need legal advice for a criminal case.,Advocate,???? ?? ??????? ????? ?? ??? ?????? ???? ?? ???????? ???,????,?? ??????? ????? ???? ????? ??????? ????? |,????,????????? ???? ???? ???? ????? ???? ?????.,?????????,??????? ?????? ???? ???? ???? ??????? ??????,??????????
I need to resolve a dispute with a contractor over a home renovation project.,Mediator,???? ?? ?? ?? ?????? ???????? ?? ?? ??????? ?? ??? ?? ????? ?? ?? ???? ?? ???????? ???,???????,?? ???? ?????? ??????? ???? ???? ?? ??????????? ???? ?? ?????? ?????? ????? ?????? |,?????????,???? ???? ?????????? ???????????? ??????????????? ?????????? ?????????????.,?????????,???? ??? ??????? ????????? ??????? ???? ????????? ???? ???? ????? ?????? ???? ????,?????????????
I'm buying property and need to notarize the sale documents.,Notary,??? ??????? ???? ??? ??? ?? ?????? ?????????? ?? ????? ???? ?? ???????? ???,?????,??? ???????? ?????? ??? ?????? ??????????? ????? ????? ?????? ??? |,??????,???? ??????? ???????? ???????????? ????? ??????? ???????? ??????? ??????.,?????,??? ???????? ????? ??? ??????? ??????? ???????? ???? ?????????,??????
I'm involved in a workplace dispute and need an impartial third party to help us find a resolution.,Mediator,??? ?? ????????? ????? ??? ????? ??? ?? ?? ???????? ????? ??? ??? ???? ?? ??? ?? ???????? ????? ???? ?? ???????? ???,???????,??? ?? ????????????? ???? ??? ???? ?? ??????????? ???????? ??????? ??????? ?? ???????? ????? ???? ?????? |,?????????,???? ???????? ???????? ???????????? ????? ???????????? ?????????? ???? ???????????? ??????????? ???? ????? ?????.,?????????,??? ???? ????????????? ?????? ????? ??? ?????? ???? ????????? ????? ???? ??????? ???? ???? ???? ???????? ?????? ?????? ?????????,?????????????
I have a dispute with my landlord over a security deposit.,Mediator,???? ??? ?? ??????? ??? ?? ???? ???? ????? ?? ??? ????? ???,???????,?? ??????? ??? ???? ??? ????????? ???? ??? ????? ??? |,?????????,?????????? ???????? ??? ?? ?????????? ???? ?????? ????.,?????????,??????? ??????? ??? ???? ???????????? ???? ???? ????? ???????,?????????????
I need to draft a will and establish an estate plan.,Document Writer,???? ?? ????? ?? ????? ????? ???? ?? ?? ??????? ????? ??????? ???? ?? ???????? ???,????????? ????,???? ?? ????? ??????? ????? ??? ?? ??????? ????? ????????? ????? ?????? |,??????????? ?????? |,???? ????????? ???????????? ????? ??????? ?????????? ??????? ??????.,??????????? ?????,???? ???? ??? ????? ??? ??? ???? ?????? ????????? ?????? ??? ??????,??? ????
I'm involved in a business contract dispute that needs to be resolved quickly.,Arbitrator,??? ?? ?????????? ?????? ????? ??? ????? ??? ???? ????? ?? ?? ???? ?? ???????? ???,???,"??? ?? ??????? ???????????? ????, ???? ????? ?????? ???? ?????? |",???????,???? ?????? ???????????????? ??????? ??????????? ???????? ????????????.,?????????,??? ???? ?????????? ??????? ??????? ???? ????? ?? ????? ?????? ??? ??????,?????
I need to notarize my power of attorney documents.,Notary,???? ???? ???? ?? ??????? ?????????? ?? ????? ???? ?? ???????? ???,?????,??? ???????? ??????????? ????? ????? ????? ?????? |,??????,?? ????????? ?????? ??????? ???? ??????? ??????.,?????,???? ???? ????????? ???????????? ???????? ??? ??????,??????
I want to mediate a family inheritance dispute to avoid going to court.,Mediator,??? ????? ??? ???? ?? ???? ?? ??? ?? ????????? ?????? ????? ?? ????????? ???? ????? ????,???????,??? ??????? ???? ???? ?? ?????? ??????????? ????? ??????? ??????? |,?????????,???????? ?????????? ????????? ???? ?????? ??????? ?????????? ????????????? ????????????????????.,?????????,??? ?????? ???? ?????? ????????? ????????????? ??????? ????????? ???? ????,?????????????
I'm involved in a personal injury claim and need legal representation.,Advocate,??? ?? ????????? ??? ?? ???? ??? ????? ??? ?? ?????? ???????????? ?? ???????? ???,????,??? ????????? ???? ???? ??? ????? ????????? ?????? ??? |,????,???? ????????? ???? ?????? ???????????? ????? ????????? ???????????? ?????.,?????????,??? ???? ????????? ?????? ?????? ????? ??? ???? ???????????? ?????????,??????????
I have a real estate dispute with a neighbor over property boundaries.,Mediator,???? ??? ??????? ?? ?????? ?? ?? ?????? ?? ??? ?? ??? ??????? ????? ???,???????,???????? ???? ???? ?????? ???? ??? ?? ?????? ???????? ????? ??? |,?????????,????? ??????????? ???????????? ???? ????? ??????? ?????? ????.,?????????,???????? ?????? ????? ?????????? ???? ???? ?????? ???????? ????? ???????,?????????????
I need assistance with a non-disclosure agreement for my startup.,Document Writer,???? ???? ????????? ?? ??? ?? ???-????????? ?????? ?? ??? ?????? ?? ???????? ???,????????? ????,??? ?????????? ???? ?? ??-?????? ?????? ???? ??? ??????? ?????? ??? |,??????????? ?????? |,?? ????????? ???? ???????? ???? ????????? ???? ????? ??????.,??????????? ?????,???? ??????????? ???? ?-???????? ???????? ???? ??????? ??????,??? ????
I'm involved in a consumer dispute with a company.,Mediator,??? ?? ????? ?? ??? ?? ???????? ????? ??? ????? ????,???????,??? ?? ??????? ???? ?? ?????? ??????? ???? |,?????????,???? ?? ??????? ??????????? ???????? ????????????.,?????????,??? ???? ??????? ???? ????????? ??????? ???? ??????,?????????????
I need to notarize a contract for a major business deal.,Notary,???? ?? ?????? ????????? ???? ?? ??? ?? ?????? ?? ????? ???? ?? ???????? ???,?????,?? ?????? ??????? ?????? ???? ???? ?? ?????????? ??????? ???? |,??????,???? ?? ?????? ??????? ??????? ???? ??????????? ??????? ??????.,?????,???? ???? ??? ?????????? ??????? ???? ???? ?????? ???????? ??? ??????,??????
I want to draft a prenuptial agreement before getting married.,Document Writer,??? ???? ???? ?? ???? ?? ???????????? ?????? ?? ????? ????? ???? ????? ????,????????? ????,????? ??????? ??? ?? ??????????? ?????????? ?????? ??????? ??????? ??????? |,??????????? ?????? |,???? ?????? ???????? ????? ???????? ??????????? ????????????????????????.,??????????? ?????,??? ?????? ??? ???? ????? -??????? ??????? ????? ???? ???? ????,??? ????
I have a dispute with a co-founder of my company that needs resolution.,Mediator,???? ???? ????? ?? ??-???????? ?? ??? ????? ?? ???? ??????????? ?? ???????? ???,???????,?? ???????? ?? ???????? ???? ??? ?? ????? ??? ???? ???????? ?????? ??? |,?????????,???????? ????????? ?? ?????? ?? ??????????????? ???? ?????? ????.,?????????,???? ??????? ???? ??-???????????? ???? ???? ????? ?????? ??? ???????? ?????????,?????????????
I need legal advice for a copyright infringement issue.,Advocate,???? ???????? ??????? ?? ?????? ?? ??? ?????? ???? ?? ???????? ???,????,?? ???????? ??????? ??????? ???? ???? ????? ??????? ????? |,????,???????? ??????? ??????? ???? ????? ???? ?????.,?????????,??????? ????? ???????? ???? ???? ???? ??????? ??????,??????????
I need to draft a legal letter to address a breach of contract.,Document Writer,???? ?????? ?? ??????? ?? ??????? ???? ?? ??? ?? ?????? ???? ?? ????? ????? ???? ?? ???????? ???,????????? ????,????????????? ??????? ??????? ???? ?? ????? ???? ?????? ?????? |,??????????? ?????? |,??????? ????????? ???????????????? ???? ????????? ????? ????????????.,??????????? ?????,?????? ????? ?????????? ???? ???? ???? ????? ????? ???? ???? ????,??? ????
I am involved in a business partnership dispute.,Mediator,??? ?? ?????????? ???????? ????? ??? ????? ????,???????,??? ?? ??????? ?????????? ???? |,?????????,???? ??????? ?????????? ???????? ????????????.,?????????,??? ???? ?????????? ????????????? ?????? ??????,?????????????
I need to notarize my divorce settlement agreement.,Notary,???? ???? ???? ?? ?????? ?????? ?? ????? ???? ?? ???????? ???,?????,??? ??????? ?????????? ?????????? ?????? ???? ?????? ?????? |,??????,?? ??????? ???????? ??????????? ???? ??????? ??????.,?????,???? ???? ???????????? ????????? ???????? ???????? ??? ??????,??????
I'm involved in a dispute with my homeowners' association.,Mediator,??? ???? ?? ?? ??????? ?? ??? ?? ??? ????? ??? ????? ????,???????,??? ??? ?? ???????? ?????? ???? ????? ???? ???? |,?????????,???? ?? ???? ??????? ?????? ???????? ????????????.,?????????,??? ???? ?????? ???????? ?????? ???? ???? ?????? ??????,?????????????
I need to draft a power of attorney document for my elderly parent.,Document Writer,???? ???? ??????? ???? -???? ?? ??? ???? ?? ??????? ???????? ?? ????? ????? ???? ?????,????????? ????,??? ????? ??????????? ???? ???? ???????? ??????????? ? ?? ????? ????? ?????? |,??????????? ?????? |,?? ????? ???????????? ???? ???? ???? ??? ??????? ????????? ????????????.,??????????? ?????,???? ?????? ????????? ???? ????? ??????? ?? ????????? ??? ????? ??? ??????,??? ????
I'm involved in a workplace harassment case and need legal representation.,Advocate,??? ?? ????????? ???????? ????? ??? ????? ??? ?? ?????? ???????????? ?? ???????? ???,????,??? ?? ???????????? ??????????? ??????? ???? ??? ????? ???????????? ?????? ??? |,????,???? ???????? ???????? ?????? ???????????? ????? ????????? ???????????? ?????.,?????????,??? ???? ????????????? ???????? ??????? ????? ??? ???? ?????????????? ?????????,??????????
I have a dispute with a tenant over property maintenance.,Mediator,??????? ?? ?????? ?? ?? ????????? ?? ??? ???? ????? ???,???????,???????? ???????????? ???? ??? ?? ?????? ???? ????? ??? |,?????????,????? ????????? ??????????? ???? ?????? ????.,?????????,???????? ?????????????? ????? ?????????? ???? ???? ????? ???????,?????????????
I need assistance with trademark registration for my business.,Document Writer,???? ???? ??????? ?? ??? ?????????? ??????? ?? ??? ?????? ?? ???????? ???,????????? ????,??? ??????? ???? ?????? ????? ???????? ???? ??????? ????? |,??????????? ?????? |,?? ???????? ???? ???????????? ???????????????? ???? ????? ??????.,??????????? ?????,???? ?????????? ???? ?????????? ?????????? ???? ??????? ??????,??? ????
I want to mediate a contract dispute with a supplier.,Mediator,??? ?? ???????????? ?? ??? ?? ?????? ????? ?? ????????? ???? ????? ????,???????,??? ?? ???????????? ???? ?? ?????????? ??????? ????????? ??????? |,?????????,???? ??????????? ??????????? ?????????? ????????????? ??????????????????.,?????????,??? ??????????? ???? ???? ??????? ??????? ????????? ???? ????,?????????????
I need legal advice for a child custody matter.,Advocate,???? ?? ??? ?????? ????? ?? ??? ?????? ???? ?? ???????? ???,????,?? ???? ??????? ???? ???? ???? ????? ??????? ????? |,????,?????? ?????? ????? ???? ???? ????? ???? ?????.,?????????,???? ???????? ?????? ???? ???? ??????? ??????,??????????
I need to notarize my last will and testament.,Notary,???? ???? ????? ????? ?? ????????? ?? ????? ???? ?? ???????? ???,?????,??? ??? ????? ??? ???? ????? ????? ?????? |,??????,?? ????? ??????? ????? ???????? ???? ??????? ??????.,?????,???? ???? ??? ??? ??? ????????????? ???????? ??? ??????,??????
I have a dispute with a contractor over the quality of work done on my home.,Mediator,???? ?? ?? ??? ?? ??? ?? ???????? ?? ?? ??????? ?? ??? ????? ???,???????,?? ??? ?????????? ???????? ??? ???? ??? ?? ??????????? ???? ????? ??? |,?????????,?? ?????? ????? ??? ???????? ??????????????? ???? ?????? ????.,?????????,???? ??????? ????? ????? ?????? ???? ????????? ???? ????? ???????,?????????????
I need assistance with the incorporation documents for my new business.,Document Writer,???? ???? ?? ??????? ?? ??? ????? ?????????? ?? ??? ?????? ?? ???????? ???,????????? ????,??? ???? ??????? ???? ??? ??????????? ?????????? ???? ?????? ?????? ??? |,??????????? ?????? |,?? ????? ???????? ???? ????? ???????? ???? ????? ??????.,??????????? ?????,???? ???? ?????????? ???? ???? ????????????? ????????? ??????? ??????,??? ????
I'm involved in a business contract dispute with an international partner.,Arbitrator,??? ?? ????????????? ??????? ?? ??? ?? ?????????? ?????? ????? ??? ????? ????,???,??? ?? ??????????? ???? ???? ?? ??????? ?????????? ??????? ???? |,???????,???? ?????????? ??????????? ??????? ?????? ???????? ????????????.,?????????,??? ???? ??????????? ????????? ???? ???? ?????????? ??????? ?????? ??????,?????
I want to draft a living will and advance healthcare directives.,Document Writer,??? ?? ????? ????? ?? ????? ????? ???? ????? ??? ?? ????????? ????????? ?? ??? ?????? ????? ????,????????? ????,??? ?????? ??????? ??????? ??????? ??? ?????? ????????????? ????????????? ??????? ??????? |,??????????? ?????? |,???? ???? ??????????? ???????????????????????? ????? ?????? ??????? ???????? ??????? ????????????????????????.,??????????? ?????,??? ???? ?????? ????? ????? ???? ??? ????????????? ??????????? ?????? ???? ????,??? ????
I have a dispute with a neighbor over a shared fence.,Mediator,???? ??? ?? ???? ???? ?? ?? ?????? ?? ??? ????? ???,???????,??? ?? ???????????? ???? ?????? ???? ????? ??? |,?????????,?????????? ?????? ???????????? ???? ?????? ????.,?????????,???? ??? ??? ?????? ??? ????? ?????????? ???? ???? ????? ????,?????????????
I need legal representation for a DUI case.,Advocate,???? DUI ????? ?? ??? ?????? ???????????? ?? ???????? ???,????,?? DUI ????? ???? ???? ????? ????????? ????? |,????,DUI ???? ???? ???? ????????? ???????????? ?????.,?????????,???? ???? ?????? ?????? ???? ???? ???????????? ??????,??????????
I need assistance with drafting a non-compete agreement for my employees.,Document Writer,???? ???? ??????????? ?? ??? ?? ???-???????????? ?????? ?? ????? ????? ???? ??? ?????? ?? ???????? ???,????????? ????,??? ?????????????? ???? ?? ???????? ?????????? ???? ??? ??? ??????? ????? |,??????????? ?????? |,?? ???????? ???? ???? ???? ??????????? ????????????? ???? ????? ??????.,??????????? ?????,???? ???????? ???? ???? ?-??????????????? ?????? ????? ?????? ???? ??????? ??????,??? ????
I'm involved in a shareholder dispute with my business partners.,Mediator,??? ???? ??????? ????????? ?? ??? ?? ???????? ????? ??? ????? ????,???????,??? ??? ??????? ???????????? ???? ?? ??????? ??????? ???? |,?????????,???? ?? ??????? ???????????? ????????? ???????? ????????????.,?????????,??? ???? ?????????? ?????????? ???? ???? ????????????? ??????? ???? ??????,?????????????
I need to notarize my business contracts for an overseas deal.,Notary,???? ?? ?????? ???? ?? ??? ???? ?????????? ???????? ?? ????? ???? ?? ???????? ???,?????,??? ??????? ?????? ???? ??? ??????? ???????????? ?????? ????? ?????? ??? |,??????,?????? ??????? ???? ?? ??????? ?????????? ??????? ??????.,?????,?????? ??????? ???? ???? ?????????? ?????????? ???????? ???? ????,??????
I want to mediate a divorce settlement and avoid a court battle.,Mediator,??? ???? ?? ?????? ?? ????????? ???? ????? ??? ?? ????? ?? ????? ?? ???? ????,???????,??? ?? ??????? ???????? ????????? ??? ?? ????? ??????? ????? ??????? ????? |,?????????,???? ??????? ????????????? ????????????? ???????????????????? ????? ?????? ?????????? ???????????????????????.,?????????,??? ???? ?????????????? ????????? ????????? ???? ??? ??????? ????? ?????? ????,?????????????
I'm facing a personal injury claim from a car accident and need legal representation.,Advocate,??? ?? ??? ???????? ?? ?? ????????? ??? ?? ???? ?? ????? ?? ??? ??? ?? ?????? ???????????? ?? ???????? ???,????,??? ?? ??? ?????????? ????????? ???? ???? ?????? ????? ??? ????? ????????? ?????? ??? |,????,???? ???? ??????? ????? ????????? ???? ?????? ???????????????? ????? ????????? ???????????? ?????.,?????????,??? ???? ????? ???????? ???? ????????? ?????? ????? ???????? ?????? ??? ???? ?????????????? ?????????,??????????
I have a dispute with a former employee over a severance agreement.,Mediator,?? ??????? ?????? ?? ?? ????? ???????? ?? ??? ???? ????? ???,???????,?? ??????? ???????????? ?? ??????? ??????????? ???? ?? ????? ??? |,?????????,??????? ????????? ???? ????????? ???? ?????? ????.,?????????,???? ????????? ??????? ????? ???? ???????? ????????? ???? ???? ????? ????,?????????????
I need assistance with patent application documentation.,Document Writer,???? ?????? ????????? ??????? ?? ??? ?????? ?? ???????? ???,????????? ????,??? ??????? ????? ?????????????? ???? ?????? ?????? ??? |,??????????? ?????? |,??????? ?????????? ????????????????? ???? ????? ??????.,??????????? ?????,??????? ???????????? ??????????? ?? ???? ??????? ??????,??? ????
I'm involved in an international trade dispute that needs resolution.,Arbitrator,??? ?? ????????????? ??????? ????? ??? ????? ??? ???? ?????? ?? ???????? ???,???,"??? ?? ??????????? ??????? ??????? ????, ???? ??????????? ?????? ??? |",???????,???? ???????? ????????? ?????????? ??????? ???????? ????????????.,?????????,??? ???? ??????????? ??????? ??????? ???? ????? ??? ???????? ?????????,?????
I need to notarize my business partnership agreement.,Notary,???? ???? ?????? ?????????? ?????? ?? ????? ???? ?? ???????? ???,?????,??? ??????? ???????? ?????????? ?????? ???? ?????? ????? ?????? |,??????,?? ??????? ?????????? ??????????? ???? ??????? ??????.,?????,???? ???? ?????????? ??????????? ???????? ???????? ??? ??????,??????
I want to draft a trust for estate planning purposes.,Document Writer,??? ?????? ???????? ?????????? ?? ??? ?? ?????? ?? ????? ????? ???? ????? ????,????????? ????,??????? ????? ???????? ???? ??? ?? ?????? ??????? ??????? ??????? |,??????????? ?????? |,???? ??????? ????????? ????????? ???? ?????????? ????????????????????????.,??????????? ?????,??? ?????? ?????????? ????????? ???? ??????? ????? ???? ????,??? ????
I have a dispute with a supplier over product quality and deliveries.,Mediator,???? ??? ?????? ?? ???????? ?? ????? ?? ?? ???????????? ?? ??? ????? ???,???????,?????? ???????? ??? ????? ???? ??? ?? ???????????? ???? ????? ??? |,?????????,???????? ?????? ????? ?????????? ??????????? ???? ?????? ????.,?????????,???? ????? ??? ???????? ????? ??????????? ???? ???? ????? ???????,?????????????
I need legal advice for a landlord-tenant dispute.,Advocate,???? ???? ?????-????????? ????? ?? ??? ?????? ???? ?? ???????? ???,????,?? ??????-?????? ????? ???? ???? ????? ??????? ????? |,????,????????-????????? ?????????? ???? ????? ???? ?????.,?????????,???????????? ????????? ??????? ???? ???? ???? ??????? ??????,??????????
I need to draft a confidentiality agreement for my startup.,Document Writer,???? ???? ????????? ?? ??? ?? ???????? ?????? ?? ????? ????? ???? ?? ???????? ???,????????? ????,??? ?????????? ???? ???? ?? ???????? ?????? ????? ?????? |,??????????? ?????? |,?? ????????? ???? ?????? ??????????? ????????????.,??????????? ?????,???? ??????????? ???? ???? ???? ????????? ??????? ????? ???? ??? ??????,??? ????
I'm involved in a dispute with a co-owner of a business.,Mediator,??? ?? ??????? ?? ??-????? ?? ??? ????? ??? ????? ????,???????,??? ?? ???????? ??-????? ???? ?? ??????? ???? |,?????????,???? ???????? ????? ??-???????? ???????? ????????????.,?????????,??? ???? ?????????? ??-??????? ???? ?????? ??????,?????????????
I need to notarize my adoption papers.,Notary,???? ???? ??? ???? ?? ?????? ?? ????? ???? ?? ???????? ???,?????,??? ????? ?????????? ????? ????? ?????? |,??????,?? ????? ???????? ??????? ??????.,?????,???? ???? ??????? ???????????? ???????? ??? ??????,??????
I want to mediate a family conflict over inheritance and assets.,Mediator,??? ?????? ?? ??????? ?? ?? ????????? ?????? ?? ????????? ???? ????? ????,???????,??? ???????????? ??? ???????? ???? ?? ?????? ??????? ????????? ??????? |,?????????,???? ???????? ????? ???????? ?????? ????????? ????????????? ??????????????????.,?????????,??? ??????????? ??? ?????????? ??? ???? ????????? ?????????? ????????? ???? ????,?????????????
I'm facing a criminal defense case and need legal representation.,Advocate,??? ?? ??????? ????? ????? ?? ????? ?? ??? ??? ?? ?????? ???????????? ?? ???????? ???,????,??? ?? ??????? ?????????? ????? ?????? ????? ??? ????? ????????? ?????? ??? |,????,???? ????????? ???????? ?????? ???????????????? ????? ????????? ???????????? ?????.,?????????,??? ???? ??????? ?????????? ?????? ???????? ??? ???? ???????????? ?????????,??????????
I have a dispute with a construction contractor over project delays.,Mediator,???????? ??? ???? ?? ?? ??????? ??????? ?? ??? ???? ????? ???,???????,????????? ???????? ?? ??????? ??????????? ???? ??? ????? ??? |,?????????,?????????? ?????? ?? ??????? ??????????????? ???? ?????? ????.,?????????,????????? ???????? ????? ???? ???? ??????? ????????? ???? ????? ???????,?????????????
